base,entry_basis,exit_basis,hours,convergence,capture,adverse,funding,fee,pnl
HOOD,22.4614,-25.3664,1,47.8278,33.2812,-21.8389,0.0261,-14.0000,45.2962
HOOD,32.9408,-4.0375,7,36.9783,33.2812,-21.8389,0.1830,-14.0000,34.6036
HOOD,19.4128,29.7404,48,-10.3276,33.2812,-21.8389,1.2547,-14.0000,-11.6306
HOOD,19.2973,-7.2365,1,26.5338,33.2812,-21.8389,0.0261,-14.0000,24.0022
HOOD,16.9711,-8.3132,8,25.2843,33.2812,-21.8389,0.2091,-14.0000,22.9357
HOOD,11.6959,16.4555,7,-4.7596,33.2812,-21.8389,0.1830,-14.0000,-7.1343
HOOD,17.8317,-0.8915,2,18.7232,33.2812,-21.8389,0.0523,-14.0000,16.2178
HOOD,23.1853,19.6183,3,3.5670,33.2812,-21.8389,0.0784,-14.0000,1.0877
META,20.0069,-9.8321,5,29.8390,8.8322,-1.6308,0.3869,-14.0000,23.4273
META,35.8003,-39.0101,17,74.8104,8.8322,-1.6308,1.3156,-14.0000,69.3274
META,39.3257,75.2658,42,-35.9401,8.8322,-1.6308,3.2504,-14.0000,-39.4883
META,16.4103,-24.2727,6,40.6830,8.8322,-1.6308,0.4643,-14.0000,34.3487
META,25.8454,-3.6031,5,29.4485,8.8322,-1.6308,0.3869,-14.0000,23.0368
META,45.9687,-0.9028,3,46.8715,8.8322,-1.6308,0.2322,-14.0000,40.3051
META,68.2153,-9.3065,12,77.5218,8.8322,-1.6308,0.9287,-14.0000,71.6519
META,79.9928,-61.1249,15,141.1177,8.8322,-1.6308,1.1608,-14.0000,135.4799
META,20.3999,22.0142,33,-1.6143,8.8322,-1.6308,2.5539,-14.0000,-5.8590
META,15.6542,27.0503,47,-11.3961,8.8322,-1.6308,3.6373,-14.0000,-14.5574
META,25.3844,-13.6148,8,38.9992,8.8322,-1.6308,0.6191,-14.0000,32.8197
META,14.7225,-3.6344,5,18.3569,8.8322,-1.6308,0.3869,-14.0000,11.9452
META,27.6113,20.9560,23,6.6553,8.8322,-1.6308,1.7800,-14.0000,1.6367
META,19.8766,-34.1115,18,53.9881,8.8322,-1.6308,1.3930,-14.0000,48.5825
META,23.1493,11.6004,48,11.5489,8.8322,-1.6308,3.7147,-14.0000,8.4650
META,11.7637,20.6059,26,-8.8422,8.8322,-1.6308,2.0121,-14.0000,-13.6287
META,26.7628,18.3503,13,8.4125,8.8322,-1.6308,1.0061,-14.0000,2.6200
MRVL,13.8092,-24.1929,1,38.0021,14.0234,-3.6341,0.0602,-14.0000,34.4517
MRVL,37.0490,-32.9910,12,70.0400,14.0234,-3.6341,0.7230,-14.0000,67.1523
MRVL,38.0901,47.5813,4,-9.4912,14.0234,-3.6341,0.2410,-14.0000,-12.8609
MRVL,62.0802,-9.2779,11,71.3581,14.0234,-3.6341,0.6627,-14.0000,68.4101
MRVL,32.0911,-5.5707,22,37.6618,14.0234,-3.6341,1.3255,-14.0000,35.3766
MRVL,32.0106,48.1565,8,-16.1459,14.0234,-3.6341,0.4820,-14.0000,-19.2746
MRVL,19.9300,-5.3665,1,25.2965,14.0234,-3.6341,0.0602,-14.0000,21.7461
MRVL,50.0000,-1.0756,3,51.0756,14.0234,-3.6341,0.1807,-14.0000,47.6457
MRVL,17.2945,-0.5396,2,17.8341,14.0234,-3.6341,0.1205,-14.0000,14.3439
MRVL,23.8897,-24.3644,5,48.2541,14.0234,-3.6341,0.3013,-14.0000,44.9447
MRVL,106.7001,-12.9729,4,119.6730,14.0234,-3.6341,0.2410,-14.0000,116.3033
MRVL,14.5266,-8.8243,1,23.3509,14.0234,-3.6341,0.0602,-14.0000,19.8004
MRVL,60.4849,-58.6179,7,119.1028,14.0234,-3.6341,0.4218,-14.0000,115.9138
MRVL,14.2662,-88.3706,3,102.6368,14.0234,-3.6341,0.1807,-14.0000,99.2068
MRVL,42.5065,-2.2480,8,44.7545,14.0234,-3.6341,0.4820,-14.0000,41.6258
MRVL,30.2292,-4.5114,19,34.7406,14.0234,-3.6341,1.1447,-14.0000,32.2747
MRVL,32.0773,-4.0504,16,36.1277,14.0234,-3.6341,0.9640,-14.0000,33.4810
MRVL,24.3254,42.4724,20,-18.1470,14.0234,-3.6341,1.2050,-14.0000,-20.5527
MRVL,46.5073,-1.2773,25,47.7846,14.0234,-3.6341,1.5063,-14.0000,45.6801
MRVL,19.1898,-20.4796,3,39.6694,14.0234,-3.6341,0.1807,-14.0000,36.2395
MRVL,23.1372,-11.4233,8,34.5605,14.0234,-3.6341,0.4820,-14.0000,31.4318
MRVL,12.6759,71.5669,7,-58.8910,14.0234,-3.6341,0.4218,-14.0000,-62.0800
MRVL,34.0073,-2.2979,10,36.3052,14.0234,-3.6341,0.6025,-14.0000,33.2970
MRVL,94.1908,-26.6218,11,120.8126,14.0234,-3.6341,0.6627,-14.0000,117.8647
MRVL,15.3749,-4.4960,27,19.8709,14.0234,-3.6341,1.6267,-14.0000,17.8869
MRVL,29.4304,-5.3848,5,34.8152,14.0234,-3.6341,0.3013,-14.0000,31.5057
MRVL,16.6262,-8.5489,1,25.1751,14.0234,-3.6341,0.0602,-14.0000,21.6247
MRVL,20.2739,-6.6774,8,26.9513,14.0234,-3.6341,0.4820,-14.0000,23.8226
MRVL,14.7282,-6.2250,4,20.9532,14.0234,-3.6341,0.2410,-14.0000,17.5835
MRVL,22.3484,6.0424,16,16.3060,14.0234,-3.6341,0.9640,-14.0000,13.6593
MRVL,17.7808,-5.0796,3,22.8604,14.0234,-3.6341,0.1807,-14.0000,19.4305
NVDA,24.0478,-16.2490,1,40.2968,2.5802,-1.1570,0.0327,-14.0000,27.7527
NVDA,11.3693,0.0000,7,11.3693,2.5802,-1.1570,0.2291,-14.0000,-0.9784
NVDA,17.8209,-12.8003,14,30.6212,2.5802,-1.1570,0.4581,-14.0000,18.5025
NVDA,15.7845,-12.3038,1,28.0883,2.5802,-1.1570,0.0327,-14.0000,15.5442
NVDA,45.8738,26.4979,2,19.3759,2.5802,-1.1570,0.0654,-14.0000,6.8645
NVDA,74.4163,-14.8874,16,89.3037,2.5802,-1.1570,0.5236,-14.0000,77.2505
NVDA,133.9764,-6.2359,6,140.2123,2.5802,-1.1570,0.1963,-14.0000,127.8318
NVDA,55.5341,-83.3373,3,138.8714,2.5802,-1.1570,0.0982,-14.0000,126.3928
NVDA,107.7984,-8.6385,5,116.4369,2.5802,-1.1570,0.1636,-14.0000,104.0237
NVDA,53.6387,-58.2561,1,111.8948,2.5802,-1.1570,0.0327,-14.0000,99.3507
NVDA,56.4944,-29.6509,3,86.1453,2.5802,-1.1570,0.0982,-14.0000,73.6667
NVDA,79.7564,136.7150,2,-56.9586,2.5802,-1.1570,0.0654,-14.0000,-69.4700
NVDA,82.4523,-85.4107,3,167.8630,2.5802,-1.1570,0.0982,-14.0000,155.3844
NVDA,16.5505,-129.0993,1,145.6498,2.5802,-1.1570,0.0327,-14.0000,133.1057
NVDA,21.5972,-7.0067,7,28.6039,2.5802,-1.1570,0.2291,-14.0000,16.2562
NVDA,31.5615,61.7470,21,-30.1855,2.5802,-1.1570,0.6872,-14.0000,-42.0751
NVDA,16.5578,-0.4469,2,17.0047,2.5802,-1.1570,0.0654,-14.0000,4.4933
NVDA,34.0929,-7.1165,40,41.2094,2.5802,-1.1570,1.3089,-14.0000,29.9415
NVDA,14.7059,-0.4442,12,15.1501,2.5802,-1.1570,0.3927,-14.0000,2.9660
NVDA,33.0033,-22.2202,2,55.2235,2.5802,-1.1570,0.0654,-14.0000,42.7121
NVDA,17.6810,-10.9364,36,28.6174,2.5802,-1.1570,1.1780,-14.0000,17.2186
NVDA,17.3873,-3.1987,3,20.5860,2.5802,-1.1570,0.0982,-14.0000,8.1074
NVDA,13.2668,-11.8716,1,25.1384,2.5802,-1.1570,0.0327,-14.0000,12.5943
NVDA,14.1779,-5.4762,6,19.6541,2.5802,-1.1570,0.1963,-14.0000,7.2736
NVDA,14.3528,7.7767,48,6.5761,2.5802,-1.1570,1.5707,-14.0000,-4.4300
NVDA,15.5534,-4.3059,5,19.8593,2.5802,-1.1570,0.1636,-14.0000,7.4461
NVDA,18.1074,-3.4501,2,21.5575,2.5802,-1.1570,0.0654,-14.0000,9.0461
NVDA,12.5113,-6.9082,4,19.4195,2.5802,-1.1570,0.1309,-14.0000,6.9736
NVDA,21.9800,13.2402,15,8.7398,2.5802,-1.1570,0.4908,-14.0000,-3.3462
QQQ,33.2394,-0.8630,10,34.1024,9.4040,-0.2119,0.9614,-14.0000,30.2559
QQQ,14.6798,-8.3378,6,23.0176,9.4040,-0.2119,0.5768,-14.0000,18.7865
QQQ,12.9868,-6.6971,7,19.6839,9.4040,-0.2119,0.6730,-14.0000,15.5490
QQQ,19.1752,-2.0282,7,21.2034,9.4040,-0.2119,0.6730,-14.0000,17.0685
QQQ,74.6334,79.2191,13,-4.5857,9.4040,-0.2119,1.2498,-14.0000,-8.1438
QQQ,34.4757,-5.3801,8,39.8558,9.4040,-0.2119,0.7691,-14.0000,35.8170
QQQ,13.0365,22.9097,41,-9.8732,9.4040,-0.2119,3.9417,-14.0000,-10.7394
QQQ,13.0674,-4.3698,1,17.4372,9.4040,-0.2119,0.0961,-14.0000,12.7254
QQQ,28.6151,-0.4210,6,29.0361,9.4040,-0.2119,0.5768,-14.0000,24.8050
QQQ,12.6222,28.4421,12,-15.8199,9.4040,-0.2119,1.1537,-14.0000,-19.4741
QQQ,23.9144,-2.5077,14,26.4221,9.4040,-0.2119,1.3460,-14.0000,22.9602
QQQ,20.1092,-6.6951,28,26.8043,9.4040,-0.2119,2.6919,-14.0000,24.6883
QQQ,15.0514,-0.8328,16,15.8842,9.4040,-0.2119,1.5382,-14.0000,12.6145
QQQ,20.5750,-0.4164,23,20.9914,9.4040,-0.2119,2.2112,-14.0000,18.3947
QQQ,16.8278,-13.7338,9,30.5616,9.4040,-0.2119,0.8653,-14.0000,26.6190
QQQ,12.7822,5.4169,9,7.3653,9.4040,-0.2119,0.8653,-14.0000,3.4227
QQQ,14.1241,14.1241,5,0.0000,9.4040,-0.2119,0.4807,-14.0000,-4.3272
SPY,14.9630,16.8485,1,-1.8855,21.0806,-0.0657,0.0085,-14.0000,5.1379
SPY,17.9109,64.7415,47,-46.8306,21.0806,-0.0657,0.3982,-14.0000,-39.4175
SPY,18.2634,-14.6326,18,32.8960,21.0806,-0.0657,0.1525,-14.0000,40.0634
SPY,57.3154,41.3516,21,15.9638,21.0806,-0.0657,0.1779,-14.0000,23.1566
SPY,13.5740,-0.2586,2,13.8326,21.0806,-0.0657,0.0169,-14.0000,20.8644
SPY,12.2893,-13.1996,31,25.4889,21.0806,-0.0657,0.2627,-14.0000,32.7665
SPY,27.6179,-2.7008,2,30.3187,21.0806,-0.0657,0.0169,-14.0000,37.3505
SPY,25.5438,-21.5938,47,47.1376,21.0806,-0.0657,0.3982,-14.0000,54.5507
SPY,11.6792,-16.8531,31,28.5323,21.0806,-0.0657,0.2627,-14.0000,35.8099
SPY,12.5086,9.6431,2,2.8655,21.0806,-0.0657,0.0169,-14.0000,9.8973
