ts_ms,ts_utc,base,venue,side,slip_target_bp,capacity_usd,actual_slip_bp,best_price
1789233911716,2026-09-12T17:25:11Z,META,perp,ask,5.0,26221.97,0.5249,649.99
1789233911716,2026-09-12T17:25:11Z,MRVL,perp,bid,1.0,303.88,0.9147,237.43
1789233911716,2026-09-12T17:25:11Z,MRVL,perp,bid,5.0,71971.3,2.0984,237.43
1789233911716,2026-09-12T17:25:11Z,MRVL,perp,ask,1.0,191296.18,0.8832,237.44
1789233911716,2026-09-12T17:25:11Z,MRVL,perp,ask,5.0,191296.18,0.8832,237.44
1789233911716,2026-09-12T17:25:11Z,NVDA,perp,bid,1.0,23754.35,0.9131,219.48
1789233911716,2026-09-12T17:25:11Z,NVDA,perp,bid,5.0,29543.17,1.0913,219.48
1789233911716,2026-09-12T17:25:11Z,NVDA,perp,ask,1.0,258024.75,0.8929,219.49
1789233911716,2026-09-12T17:25:11Z,NVDA,perp,ask,5.0,309282.81,1.0469,219.49
1789233911716,2026-09-12T17:25:11Z,QQQ,perp,bid,1.0,4162.56,0.1638,716.46
1789233911716,2026-09-12T17:25:11Z,QQQ,perp,bid,5.0,4162.56,0.1638,716.46
1789233911716,2026-09-12T17:25:11Z,QQQ,perp,ask,1.0,242312.47,0.0957,716.47
1789233911716,2026-09-12T17:25:11Z,QQQ,perp,ask,5.0,242312.47,0.0957,716.47
1789233911716,2026-09-12T17:25:11Z,SOXL,perp,bid,1.0,4158.17,0.6377,122.74
1789233911716,2026-09-12T17:25:11Z,SOXL,perp,bid,5.0,351009.98,2.3256,122.74
1789233911716,2026-09-12T17:25:11Z,SOXL,perp,ask,1.0,110455.01,0.5242,122.75
1789233911716,2026-09-12T17:25:11Z,SOXL,perp,ask,5.0,302811.09,1.5926,122.75
1789233911716,2026-09-12T17:25:11Z,SPY,perp,bid,1.0,27978.38,0.8934,765.97
1789233911716,2026-09-12T17:25:11Z,SPY,perp,bid,5.0,38592.93,1.1145,765.97
1789233911716,2026-09-12T17:25:11Z,SPY,perp,ask,1.0,2527234.36,0.2052,765.98
1789233911716,2026-09-12T17:25:11Z,SPY,perp,ask,5.0,2527234.36,0.2052,765.98
1789233911716,2026-09-12T17:25:11Z,TSLA,perp,bid,1.0,746.66,0.8357,366.04
1789233911716,2026-09-12T17:25:11Z,TSLA,perp,bid,5.0,746.66,0.8357,366.04
1789233911716,2026-09-12T17:25:11Z,TSLA,perp,ask,1.0,262664.87,0.7853,366.07
1789233911716,2026-09-12T17:25:11Z,TSLA,perp,ask,5.0,262664.87,0.7853,366.07
1789233934546,2026-09-12T17:25:34Z,AAPL,perp,bid,1.0,171930.22,0.3124,333.7
1789233934546,2026-09-12T17:25:34Z,AAPL,perp,bid,5.0,171930.22,0.3124,333.7
1789233934546,2026-09-12T17:25:34Z,AAPL,perp,ask,1.0,2910.1,0.4986,333.71
1789233934546,2026-09-12T17:25:34Z,AAPL,perp,ask,5.0,172264.86,1.187,333.71
1789233934546,2026-09-12T17:25:34Z,GOOGL,perp,bid,1.0,9000.2,0.9781,339.92
1789233934546,2026-09-12T17:25:34Z,GOOGL,perp,bid,5.0,9000.2,0.9781,339.92
1789233934546,2026-09-12T17:25:34Z,GOOGL,perp,ask,1.0,92421.27,0.4866,339.93
1789233934546,2026-09-12T17:25:34Z,GOOGL,perp,ask,5.0,92421.27,0.4866,339.93
1789233934546,2026-09-12T17:25:34Z,HOOD,perp,bid,1.0,4305.32,0.0646,112.47
1789233934546,2026-09-12T17:25:34Z,HOOD,perp,bid,5.0,18778.72,4.9986,112.47
1789233934546,2026-09-12T17:25:34Z,HOOD,perp,ask,1.0,195431.46,0.7335,112.48
1789233934546,2026-09-12T17:25:34Z,HOOD,perp,ask,5.0,220010.33,1.0487,112.48
1789233934546,2026-09-12T17:25:34Z,META,perp,bid,1.0,1124.33,0.7044,649.95
1789233934546,2026-09-12T17:25:34Z,META,perp,bid,5.0,3379.18,1.6717,649.95
1789233934546,2026-09-12T17:25:34Z,META,perp,ask,1.0,26221.97,0.5249,649.99
1789233934546,2026-09-12T17:25:34Z,META,perp,ask,5.0,26221.97,0.5249,649.99
1789233934546,2026-09-12T17:25:34Z,MRVL,perp,bid,1.0,113.96,0.4914,237.42
1789233934546,2026-09-12T17:25:34Z,MRVL,perp,bid,5.0,156907.03,1.9093,237.42
1789233934546,2026-09-12T17:25:34Z,MRVL,perp,ask,1.0,279082.54,0.6066,237.44
1789233934546,2026-09-12T17:25:34Z,MRVL,perp,ask,5.0,279082.54,0.6066,237.44
1789233934546,2026-09-12T17:25:34Z,NVDA,perp,bid,1.0,23754.35,0.9131,219.48
1789233934546,2026-09-12T17:25:34Z,NVDA,perp,bid,5.0,29543.17,1.0913,219.48
1789233934546,2026-09-12T17:25:34Z,NVDA,perp,ask,1.0,129301.22,0.8229,219.49
1789233934546,2026-09-12T17:25:34Z,NVDA,perp,ask,5.0,271275.92,1.1936,219.49
1789233934546,2026-09-12T17:25:34Z,QQQ,perp,bid,1.0,4341.64,0.2467,716.46
1789233934546,2026-09-12T17:25:34Z,QQQ,perp,bid,5.0,4341.64,0.2467,716.46
