ts_ms,ts_utc,base,session,route,dev_bp,info_bp,resid_bp,spot_sp_bp,perp_sp_bp
1789218079400,2026-09-12T13:01:19Z,AAPL,closed,in_house,15.3234,15.3234,0.0,3.305,0.3
1789218079400,2026-09-12T13:01:19Z,GOOGL,closed,in_house,27.5836,27.5836,0.0,12.9805,0.2942
1789218079400,2026-09-12T13:01:19Z,HOOD,closed,in_house,11.5808,11.5808,0.0,20.4891,2.6694
1789218079400,2026-09-12T13:01:19Z,META,closed,in_house,25.3329,25.3329,0.0,15.7558,0.6163
1789218079400,2026-09-12T13:01:19Z,MRVL,closed,in_house,17.5335,17.5335,0.0,45.6293,0.4218
1789218079400,2026-09-12T13:01:19Z,NVDA,closed,in_house,26.9622,26.9622,0.0,19.6504,0.4558
1789218079400,2026-09-12T13:01:19Z,QQQ,closed,in_house,16.0173,16.0173,0.0,6.7147,0.1397
1789218079400,2026-09-12T13:01:19Z,SOXL,closed,in_house,33.531,33.531,0.0,0.8178,0.8151
1789218079400,2026-09-12T13:01:19Z,SPY,closed,in_house,10.9146,10.9146,0.0,18.0385,0.1306
1789218079400,2026-09-12T13:01:19Z,TSLA,closed,in_house,27.2692,27.2692,0.0,31.7913,0.2733
1789218088965,2026-09-12T13:01:28Z,AAPL,closed,in_house,15.3234,15.3234,0.0,3.305,0.3
1789218088965,2026-09-12T13:01:28Z,GOOGL,closed,in_house,27.5836,27.5836,0.0,12.9805,0.2942
1789218088965,2026-09-12T13:01:28Z,HOOD,closed,in_house,11.5808,11.5808,0.0,20.4891,2.6694
1789218088965,2026-09-12T13:01:28Z,META,closed,in_house,25.4101,25.3329,0.0772,15.7558,0.4622
1789218088965,2026-09-12T13:01:28Z,MRVL,closed,in_house,17.5335,17.5335,0.0,45.6293,0.4218
1789218088965,2026-09-12T13:01:28Z,NVDA,closed,in_house,26.9622,26.9622,0.0,19.6504,0.4558
1789218088965,2026-09-12T13:01:28Z,QQQ,closed,in_house,16.0173,16.0173,0.0,6.7147,0.1397
1789218088965,2026-09-12T13:01:28Z,SOXL,closed,in_house,33.531,33.531,0.0,0.8178,0.8151
1789218088965,2026-09-12T13:01:28Z,SPY,closed,in_house,10.9146,10.9146,0.0,18.0385,0.1306
1789218088965,2026-09-12T13:01:28Z,TSLA,closed,in_house,27.2692,27.2692,0.0,31.7913,0.2733
1789218148973,2026-09-12T13:02:28Z,AAPL,closed,in_house,15.3234,15.3234,0.0,3.305,0.3
1789218148973,2026-09-12T13:02:28Z,GOOGL,closed,in_house,28.7683,27.5836,1.1847,9.737,0.5884
1789218148973,2026-09-12T13:02:28Z,HOOD,closed,in_house,11.1354,11.5808,-0.4454,20.4891,3.5594
1789218148973,2026-09-12T13:02:28Z,META,closed,in_house,25.1784,25.3715,-0.1931,15.7558,0.3082
1789218148973,2026-09-12T13:02:28Z,MRVL,closed,in_house,16.6885,17.5335,-0.845,45.6293,0.4218
1789218148973,2026-09-12T13:02:28Z,NVDA,closed,in_house,26.0482,26.9622,-0.914,19.6504,0.4558
1789218148973,2026-09-12T13:02:28Z,QQQ,closed,in_house,16.0173,16.0173,0.0,6.7147,0.1397
1789218148973,2026-09-12T13:02:28Z,SOXL,closed,in_house,32.7131,33.531,-0.8178,0.8178,0.8152
1789218148973,2026-09-12T13:02:28Z,SPY,closed,in_house,10.9146,10.9146,0.0,18.0385,0.1306
1789218148973,2026-09-12T13:02:28Z,TSLA,closed,in_house,27.2692,27.2692,0.0,31.7913,0.2733
1789218208984,2026-09-12T13:03:28Z,AAPL,closed,in_house,15.3234,15.3234,0.0,3.305,0.3
1789218208984,2026-09-12T13:03:28Z,GOOGL,closed,in_house,27.141,27.9785,-0.8374,12.9805,0.5884
1789218208984,2026-09-12T13:03:28Z,HOOD,closed,in_house,10.6899,11.4323,-0.7424,20.4891,0.8899
1789218208984,2026-09-12T13:03:28Z,META,closed,in_house,25.4101,25.3071,0.103,15.7558,0.4622
1789218208984,2026-09-12T13:03:28Z,MRVL,closed,in_house,19.0122,17.2518,1.7604,45.6293,0.8434
1789218208984,2026-09-12T13:03:28Z,NVDA,closed,in_house,26.0482,26.6575,-0.6093,19.6504,0.4558
1789218208984,2026-09-12T13:03:28Z,QQQ,closed,in_house,15.178,16.0173,-0.8393,6.7147,0.1397
