base,venue,snapshots,horizon,fill_rate_conservative_pct,fill_rate_neutral_pct,half_spread_bp,adverse_mid_bp,adverse_p25_bp,net_conservative_bp,net_neutral_bp,passed
AAPL,perp,2628,6,17.93,81.69,0.1501,-0.8997,-2.5473,-11.7496,-10.8501,no
GOOGL,perp,2628,6,26.21,74.06,0.1481,-1.4636,-3.9625,-12.3154,-11.2911,no
HOOD,perp,2628,6,24.04,78.75,0.8949,-1.8429,-5.3708,-11.948,-10.5536,no
META,perp,2628,6,25.03,77.3,0.1542,-0.6929,-2.024,-11.5387,-10.9997,no
MRVL,perp,2628,6,37.31,66.16,0.2193,-1.9088,-5.2587,-12.6895,-11.8595,no
NVDA,perp,2628,6,19.84,83.02,0.2312,-1.3979,-3.2514,-12.1667,-10.7705,no
QQQ,perp,2627,6,21.64,82.29,0.0702,-0.9801,-2.3786,-11.9099,-11.0696,no
SOXL,perp,2628,6,41.82,63.33,0.4146,-4.0856,-9.584,-14.671,-13.0604,no
SPY,perp,2628,6,14.99,89.01,0.0656,-0.6544,-1.7676,-11.5889,-10.9346,no
TSLA,perp,2628,6,26.71,74.82,0.1375,-1.0872,-3.0121,-11.9498,-11.0003,no
