ts_utc,ts_ms,date_cn,base,symbol,venue,bid,ask,mid,spread_bp,bid_sz,ask_sz,bid_depth_usd,ask_depth_usd,last,usdt_vol_24h
2026-09-12T16:00:14.009Z,1789228814009,2026-09-13,TQQQ,RTQQQUSDT,spot,70.99,71.14,71.065,21.1074,4.738,2.0289,336.35,144.34,71.14,1185609393.8259077
2026-09-12T16:00:14.009Z,1789228814009,2026-09-13,TQQQ,TQQQUSDT,perp,71.16,71.17,71.16499999999999,1.4052,0.68,222.51,48.39,15836.04,71.17,469519.9634
2026-09-12T16:00:14.009Z,1789228814009,2026-09-13,TSEM,RTSEMUSDT,spot,211.1,212.9,212.0,84.9057,50.0,80.0,10555.0,17032.0,211.99,159111643.39149326
2026-09-12T16:00:14.009Z,1789228814009,2026-09-13,TSEM,TSEMUSDT,perp,213.4,213.86,213.63,21.5326,0.22,0.22,46.95,47.05,213.67,115140.0381
2026-09-12T16:00:14.009Z,1789228814009,2026-09-13,TSLA,RTSLAUSDT,spot,365.61,365.75,365.68,3.8285,0.3,0.381,109.68,139.35,365.84,74.972594
2026-09-12T16:00:14.009Z,1789228814009,2026-09-13,TSLA,TSLAUSDT,perp,366.06,366.07,366.065,0.2732,0.12,118.12,43.93,43240.19,366.09,1589600.298
2026-09-12T16:00:14.009Z,1789228814009,2026-09-13,TSM,RTSMUSDT,spot,432.12,433.15,432.635,23.8076,0.3593,0.508,155.26,220.04,432.12,2855117822.2359343
2026-09-12T16:00:14.009Z,1789228814009,2026-09-13,TSM,TSMUSDT,perp,432.7,432.75,432.725,1.1555,2.76,84.97,1194.25,36770.77,432.73,104821.1368
2026-09-12T16:00:14.009Z,1789228814009,2026-09-13,TTWO,RTTWOUSDT,spot,216.31,216.34,216.325,1.3868,0.2549,32.0292,55.14,6929.2,216.32,18902.909554
2026-09-12T16:00:14.009Z,1789228814009,2026-09-13,TTWO,TTWOUSDT,perp,217.37,217.4,217.385,1.38,0.23,14.49,50.0,3150.13,217.39,36065.0391
