date_right,n_hours,total_bp,sharpe_ci_lo,sharpe_ann,sharpe_ci_hi,maxdd_bp
2026-08-17,216,3399.4975,2.4552,9.1738,15.8925,627.7591
2026-08-18,192,3112.3971,1.9765,9.1018,16.2271,627.7591
2026-08-19,192,3112.3971,1.9765,9.1018,16.2271,627.7591
2026-08-20,192,3112.3971,1.9765,9.1018,16.2271,627.7591
2026-08-21,192,3112.3971,1.9765,9.1018,16.2271,627.7591
2026-08-22,216,3351.7897,2.3744,9.0920,15.8097,627.7591
2026-08-23,240,3423.4337,2.2374,8.6049,14.9724,627.7591
2026-08-24,216,3253.7874,2.6357,9.3566,16.0775,627.7591
2026-08-25,192,2961.8040,2.8491,9.9862,17.1233,250.1650
2026-08-26,192,2961.8040,2.8491,9.9862,17.1233,250.1650
2026-08-27,192,2961.8040,2.8491,9.9862,17.1233,250.1650
2026-08-28,192,2961.8040,2.8491,9.9862,17.1233,250.1650
2026-08-29,216,3142.4107,3.2003,9.9285,16.6567,250.1650
2026-08-30,240,3458.3249,3.8307,10.2172,16.6038,250.1650
2026-08-31,216,2551.5308,4.0160,10.7554,17.4949,232.9110
2026-09-01,192,1704.7153,3.9880,11.1422,18.2964,151.4893
2026-09-02,192,1704.7153,3.9880,11.1422,18.2964,151.4893
2026-09-03,192,1704.7153,3.9880,11.1422,18.2964,151.4893
2026-09-04,192,1704.7153,3.9880,11.1422,18.2964,151.4893
2026-09-05,216,1699.2364,3.2509,9.9798,16.7086,151.4893
2026-09-06,240,1902.4002,3.6920,10.0768,16.4616,151.4893
2026-09-07,240,1971.6649,3.8518,10.2386,16.6254,151.4893
2026-09-08,232,1642.9317,2.7340,9.2174,15.7007,151.4893
2026-09-09,232,1642.9317,2.7340,9.2174,15.7007,151.4893
2026-09-10,232,1642.9317,2.7340,9.2174,15.7007,151.4893
2026-09-11,232,1642.9317,2.7340,9.2174,15.7007,151.4893
2026-09-12,248,1667.4704,2.6125,8.8794,15.1463,151.4893
